vuln_id,repo,packages,num_commits_kb,commits_processed,functions_extracted,num_functions
CVE-2018-1999046,jenkinsci/jenkins,,1,1,PluginUpdateInfo;ViewDescriptor;checkFileAccess;checkPermission;copy;createDefaultUpdateCenter;doCheckJobName;doConnectionStatus;doDoInstall;doDowngrade;doInvalidateData;doRestart;doUpgrade;find;getACL;getDefaultBaseUrl;getEntryAuthor;getJob;getLog;getOwner;getSearchName;getTarget;getTransientActions;isDowngradable;isInstalled;persistInstallStatus;updateAllSites;updateDefaultSite,28
CVE-2018-19992,Dolibarr/dolibarr,,1,1,initfieldrequired,1
CVE-2018-19993,Dolibarr/dolibarr,,1,1,,0
CVE-2018-19994,Dolibarr/dolibarr,,1,1,update,1
CVE-2018-20000,Bedework/bw-webdav,,1,1,WebdavBadRequest;WebdavException;getXmlDoc;parseContent;parseXml;parseXmlSafely;processXml,7
CVE-2018-20028,contao/contao,,1,1,__construct;checkPermission;filterMenu,3
CVE-2018-20059,pippo-java/pippo,,1,1,toString,1
CVE-2018-20157,OpenRefine/OpenRefine,,1,1,createXMLStreamReader,1
CVE-2018-20222,airsonic/airsonic,,1,1,createSAXBuilder;doRefreshChannel;getLyrics;getRESTProtocolVersion,4
CVE-2018-20227,eclipse/rdf4j,,1,1,IOException;extract;isZipStream;writeEntry,4
CVE-2018-20318,Wechat-Group/WxJava,com.github.binarywang/weixin-java-common,1,1,getXmlDoc,1
CVE-2018-20433,swaldman/c3p0,com.mchange/c3p0;c3p0/c3p0,1,1,extractPropertiesFromLevel;extractXmlConfigFromDefaultResource;extractXmlConfigFromInputStream;findConfig;findExpandEntityReferences;mbOverrideWarning;warnCommonXmlConfigResourceMisspellings,7
CVE-2018-20580,SmartBear/soapui,,2,2,CancelAction;Exception;ImportAction;actionPerformed;buildActions;buildDialog;closeDialog;getGraphicsConfigurationForPosition;getPropertyExpansions;getTextArea;handleDefinitionPropertyExpansions;importWsdl;initFromWadl;isImportDefinition;isPropertyExpansion;makeInvalidDefinitionException;run;setEditable;setWidth;showDialog;userInputIsPropertyExpansion;valueChanged,22
CVE-2018-20677,twbs/bootstrap,,1,1,,0
CVE-2018-20801,highcharts/highcharts,,1,1,attr,1
CVE-2018-21234,oblac/jodd,org.jodd/jodd-json,1,1,JsonException;allowAllClasses;allowClass;checkClassName;map2bean;withClassMetadata,6
CVE-2018-3712,vercel/serve,,1,1,,0
CVE-2018-3715,jarofghosts/glance,,1,1,,0
CVE-2018-3721,lodash/lodash,,1,1,customizer;safeGet,2
CVE-2018-3726,omphalos/crud-file-server,,1,1,,0
CVE-2018-3732,pillarjs/resolve-path,,1,1,normalize;resolve;resolvePath,3
CVE-2018-3733,omphalos/crud-file-server,,1,1,,0
CVE-2018-3740,rgrove/sanitize,,1,1,call,1
CVE-2018-3741,rails/rails-html-sanitizer,,1,1,scrub_attribute,1
CVE-2018-3750,unclechu/node-deep-extend,,1,1,safeGetProperty,1
CVE-2018-3759,jtdowney/private_address_check,,1,1,initialize;initialize_without_private_address_check,2
CVE-2018-3769,ruby-grape/grape,,1,1,error_response,1
CVE-2018-3774,unshiftio/url-parse,,1,1,Url;extractProtocol;lolcation;resolve;sanitize;set,6
CVE-2018-3778,moscajs/aedes,,1,1,done;enqueue;nop,3
CVE-2018-3786,eggjs/egg-scripts,,1,1,,0
CVE-2018-5382,bcgit/bc-java,org.apache.pdfbox/pdfbox-app;org.bouncycastle/bcprov-jdk15on;org.keycloak/keycloak-admin-cli;org.bouncycastle/bcprov-jdk14;org.apache.tika/tika-app;org.bouncycastle/bcprov-ext-jdk15on,1,1,BcKeyStoreSpi;BouncyCastleStore;Mappings;Std;Version1;engineStore,6
CVE-2018-5968,FasterXML/jackson-databind,com.fasterxml.jackson.core/jackson-databind;com.notnoop.apns/apns;org.apache.htrace/htrace-core4;org.apache.htrace/htrace-core;com.couchbase.client/core-io,1,1,,0
CVE-2018-6188,django/django,Django/Django,1,1,clean;users,2
CVE-2018-6331,facebook/buck,,1,1,InvalidClassException;ParserStateObjectInputStream;resolveClass;runWithoutHelp,4
CVE-2018-6333,facebookarchive/nuclide,,1,1,,0
CVE-2018-7260,phpmyadmin/composer,,1,1,,0
CVE-2018-7489,FasterXML/jackson-databind,com.fasterxml.jackson.core/jackson-databind;com.notnoop.apns/apns;org.apache.htrace/htrace-core4;org.apache.htrace/htrace-core;com.couchbase.client/core-io,4,2,,0
CVE-2018-7560,myshenin/aws-lambda-multipart-parser,,1,1,getValueIgnoringKeyCase,1
CVE-2018-7651,zkat/ssri,,1,1,,0
CVE-2018-7749,ronf/asyncssh,,1,1,DisconnectError;_recv_packet,2
CVE-2018-7750,paramiko/paramiko,paramiko/paramiko,1,1,Otherwise;_ensure_authed;_sanitize_packet_size;run,4
CVE-2018-7753,mozilla/bleach,bleach/bleach,1,1,allow_token;convert_entities;convert_entity;in;next_possible_entity;sanitize_characters;sanitize_uri_value;unescape,8
