vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-57qv-h9m7-jxfg,marcador,pypi,critical,1,Bookmark;BookmarkTag;Proxy;Rofi;RofiMarcador;Tag;__exit__;__init__;__repr__;_common_args;_redirect;_run_blocking;_run_nonblocking;add;bookmarks;cli;close;date_entry;date_validator;datetime_entry;datetime_validator;decimal_entry;decimal_validator;dispatch;edit;error;escape;float_entry;float_validator;gen_thumbnails;generic_entry;get_bookmark;get_db_path;get_proxy;get_session;get_url;get_user_data_dir;handle_data;html;index;integer_entry;integer_validator;load;marcador_tag;open_bookmark_cmd;ping_pong;print_bookmark;print_bookmarks;print_tag;print_tags;rofi_launch;save;status;text_entry;text_validator;thumbnails;time_entry;time_validator,58,True,joajfreitas/marcador
GHSA-qwqv-j7jr-4hp6,python-libnmap,pypi,critical,1,__build_windows_cmdline;__init__;__validate_target,3,False,savon-noir/python-libnmap
GHSA-g53g-q539-93cv,scout-browser,pypi,high,2,check_session_tracks;remote_cors;remote_static;set_session_tracks,4,False,clinical-genomics/scout
GHSA-jf66-3q76-h5p5,keylime,pypi,critical,1,do_cv;post,2,False,keylime/keylime
GHSA-qfp8-hfqx-c79c,Nova,pypi,high,5,,0,False,pypa/advisory-database
GHSA-r7w6-p47g-vj53,Django,pypi,medium,2,delete_view,1,False,django/django
GHSA-g8xg-jgj6-49r3,Django,pypi,medium,2,as_ul;initial_form_count,2,False,django/django
GHSA-8833-qrvm-wc3h,Keystone,pypi,medium,3,_get_credentials;authenticate;check_signature;default_expire_time;validate_auth_info,5,False,openstack/keystone
GHSA-4ppj-4p4v-jf4p,keystone,pypi,medium,2,Conflict;LimitingReader;RequestBodySizeLimiter;RequestTooLarge;ValidationError;ValidationSizeError;__call__;__init__;__iter__;authenticate;process_request;read;register_cli_int;setup_remote_pydev_debug,14,False,openstack/keystone
GHSA-xv7j-2v4w-cjvh,glance,pypi,medium,3,add;get;parse_uri;set_acls,4,False,openstack/glance
GHSA-3cwm-7jmm-774w,Beaker,pypi,medium,0,,0,False,
GHSA-q4v3-wmm6-hcrx,pyrad,pypi,high,1,CreateAuthenticator;CreateID,2,False,wichert/pyrad
GHSA-4793-w44w-m7xm,plone,pypi,medium,0,,0,False,
GHSA-w4px-9pgm-p2f3,pyrad,pypi,medium,1,CreateAuthenticator;CreateID,2,False,pyradius/pyrad
GHSA-gq26-cpq6-w85r,salt,pypi,high,0,,0,False,
GHSA-58h8-44mg-r43x,djblets,pypi,critical,0,,0,False,
GHSA-xp76-357g-9wqq,scipy,pypi,high,1,_create_dirs;check_dir;check_is_dir;check_is_symlink;check_ownership;check_permissions;create_intermediate_dir;create_temp_dir;create_win_temp_dir;default_dir;default_dir_posix;default_dir_win;find_temp_dir;find_valid_temp_dir;intermediate_dir;intermediate_dir_prefix;is_writable;py_intermediate_dir;whoami,19,True,scipy/scipy
